id,provinsi,jenis,nama_pariwisata,latitude,longitude,lebar,tinggi,kemiringan
33,KALIMANTAN TIMUR,DPN,DPN PALANGKARAYA-TANJUNG PUTING dan sekitarnya,-2.416275655,111.8847656,150000,250000,180
34,KALIMANTAN TIMUR,DPN,DPN LONG BAGUN-MELAK dan sekitarnya,0.538322158,114.5983887,90000,120000,60
35,KALIMANTAN TIMUR,DPN,DPN TENGGARONG-BALIKPAPAN dan sekitarnya,-0.318601874,116.2353516,110000,170000,30
14,KEPULAUAN RIAU,DPN,DPN JAMBI-KERINCI SEBLAT dan sekitarnya,-1.406108835,102.9528809,180000,110000,70
15,KEPULAUAN RIAU,DPN,DPN BATAM-BINTAN dan sekitarnyaz,0.790990498,104.161377,90000,45000,70
41,MALUKU,DPN,DPN MANADO-BUNAKEN dan sekitarnya,2.416275655,125.3430176,150000,350000,130
8,MALUKU UTARA,DPN,DPN KENDARI-WAKATOBI dan sekitarnya,-4.882994244,122.9370117,100000,200000,60
5,NUSA TENGGARA BARAT,DPN,DPN PALEMBANG-BABEL dan sekitarnya,-2.547987871,106.1279297,250000,100000,86
6,NUSA TENGGARA BARAT,DPN,DPN LOMBOK-GILI TRAMENA dan sekitarnya,-8.678778692,116.4990234,50000,60000,130
9,NUSA TENGGARA TIMUR,DPN,DPN HALMAHERA-MOROTAI dan sekitarnya,0.889856802,127.96875,120000,220000,100
26,NUSA TENGGARA TIMUR,DPN,DPN BALI-NUSA LEMBONGAN dan sekitarnya,-8.363692652,115.1477051,80000,50000,100
27,NUSA TENGGARA TIMUR,DPN,DPN KELIMUTU-MEUMERE dan sekitarnya,-8.678778692,121.7834473,78000,35000,80
28,NUSA TENGGARA TIMUR,DPN,DPN SUMBA-WAIKABUBAK dan sekitarnya,-9.806503562,119.8828125,110000,55000,110
29,NUSA TENGGARA TIMUR,DPN,DPN ALOR-LEMBATA dan sekitarnya,-8.331082834,123.848877,130000,50000,90
44,PAPUA,DPN,DPN MANOKWARI-FAK-FAK dan sekitarnya,-2.28455066,133.1542969,130000,200000,120
