tahun,bulan,provinsi,nama_pintu_masuk,jenis_pintu_masuk,jumlah_kunjungan_wisman
2023,Oktober,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,1518
2023,Oktober,KEP. RIAU,Batam,Laut,79646
2023,Oktober,KEP. RIAU,Tanjung Uban,Laut,16838
2023,Oktober,KEP. RIAU,Tanjung Pinang,Laut,5065
2023,Oktober,KEP. RIAU,Tanjung Balai Karimun,Laut,4298
2023,Oktober,BALI,Tanjung Benoa,Laut,2596
2023,Oktober,JAWA TENGAH,Tanjung Mas,Laut,0
2023,Oktober,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,77718
2023,Oktober,PAPUA,Jayapura,Darat,9174
2023,Oktober,NUSA TENGGARA TIMUR,Atambua,Darat,9700
2023,Oktober,KALIMANTAN BARAT,Entikong,Darat,2274
2023,Oktober,KALIMANTAN BARAT,Aruk,Darat,1721
2023,Oktober,KALIMANTAN BARAT,Nanga Badau,Darat,674
2023,Oktober,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,61231
2023,November,BALI,Ngurah Rai,Udara,397522
2023,November,DKI JAKARTA,Soekarno-Hatta,Udara,186695
2023,November,JAWA TIMUR,Juanda,Udara,22389
2023,November,SUMATERA UTARA,Kualanamu,Udara,16363
2023,November,JAWA BARAT,Husein Sastranegara,Udara,0
2023,November,DI YOGYAKARTA,Adi Sucipto,Udara,9675
2023,November,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,5278
2023,November,SULAWESI UTARA,Sam Ratulangi,Udara,4611
2023,November,SUMATERA BARAT,Minangkabau,Udara,5898
2023,November,RIAU,Sultan Syarif Kasim II,Udara,2921
2023,November,ACEH,Sultan Iskandar Muda,Udara,2577
2023,November,JAWA TENGAH,Ahmad Yani,Udara,0
2023,November,KALIMANTAN BARAT,Supadio,Udara,0
2023,November,SULAWESI SELATAN,Hasanuddin,Udara,1194
2023,November,SUMATERA SELATAN,Sultan Badaruddin II,Udara,1
2023,November,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,1585
2023,November,KEP. RIAU,Batam,Laut,103497
2023,November,KEP. RIAU,Tanjung Uban,Laut,16544
2023,November,KEP. RIAU,Tanjung Pinang,Laut,5912
2023,November,KEP. RIAU,Tanjung Balai Karimun,Laut,4683
2023,November,BALI,Tanjung Benoa,Laut,5632
2023,November,JAWA TENGAH,Tanjung Mas,Laut,0
2023,November,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,53990
2023,November,PAPUA,Jayapura,Darat,3729
2023,November,NUSA TENGGARA TIMUR,Atambua,Darat,8838
2023,November,KALIMANTAN BARAT,Entikong,Darat,2364
2023,November,KALIMANTAN BARAT,Aruk,Darat,1790
2023,November,KALIMANTAN BARAT,Nanga Badau,Darat,724
2023,November,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,66815
2023,Desember,BALI,Ngurah Rai,Udara,478382
2023,Desember,DKI JAKARTA,Soekarno-Hatta,Udara,172397
2023,Desember,JAWA TIMUR,Juanda,Udara,23244
2023,Desember,SUMATERA UTARA,Kualanamu,Udara,18237
2023,Desember,JAWA BARAT,Husein Sastranegara,Udara,0
2023,Desember,DI YOGYAKARTA,Adi Sucipto,Udara,11338
2023,Desember,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,7304
2023,Desember,SULAWESI UTARA,Sam Ratulangi,Udara,3917
2023,Desember,SUMATERA BARAT,Minangkabau,Udara,6710
2023,Desember,RIAU,Sultan Syarif Kasim II,Udara,2964
2023,Desember,ACEH,Sultan Iskandar Muda,Udara,3461
2023,Desember,JAWA TENGAH,Ahmad Yani,Udara,0
2023,Desember,KALIMANTAN BARAT,Supadio,Udara,2
2023,Desember,SULAWESI SELATAN,Hasanuddin,Udara,1500
2023,Desember,SUMATERA SELATAN,Sultan Badaruddin II,Udara,6
2023,Desember,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,1831
2023,Desember,KEP. RIAU,Batam,Laut,149218
2023,Desember,KEP. RIAU,Tanjung Uban,Laut,26205
2023,Desember,KEP. RIAU,Tanjung Pinang,Laut,7022
2023,Desember,KEP. RIAU,Tanjung Balai Karimun,Laut,6634
2023,Desember,BALI,Tanjung Benoa,Laut,801
2023,Desember,JAWA TENGAH,Tanjung Mas,Laut,0
2023,Desember,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,101883
2023,Desember,PAPUA,Jayapura,Darat,11445
2023,Desember,NUSA TENGGARA TIMUR,Atambua,Darat,12678
2023,Desember,KALIMANTAN BARAT,Entikong,Darat,4522
2023,Desember,KALIMANTAN BARAT,Aruk,Darat,3605
2023,Desember,KALIMANTAN BARAT,Nanga Badau,Darat,1363
