provinsi,bulan,jumlah_kunjungan_wisnus,tahun
BENGKULU,April,160737,2022
LAMPUNG,April,934561,2022
KEP. BANGKA BELITUNG,April,125002,2022
KEP. RIAU,April,104207,2022
DKI JAKARTA,April,3999014,2022
JAWA BARAT,April,7649342,2022
JAWA TENGAH,April,6012461,2022
DI YOGYAKARTA,April,1161028,2022
JAWA TIMUR,April,12078225,2022
BANTEN,April,2469664,2022
BALI,April,1015904,2022
NUSA TENGGARA BARAT,April,266829,2022
NUSA TENGGARA TIMUR,April,222175,2022
KALIMANTAN BARAT,April,230254,2022
KALIMANTAN TENGAH,April,204164,2022
KALIMANTAN SELATAN,April,325854,2022
KALIMANTAN TIMUR,April,306368,2022
KALIMANTAN UTARA,April,26925,2022
SULAWESI UTARA,April,349618,2022
SULAWESI TENGAH,April,691868,2022
SULAWESI SELATAN,April,3768595,2022
SULAWESI TENGGARA,April,1585129,2022
GORONTALO,April,140420,2022
SULAWESI BARAT,April,516032,2022
MALUKU,April,57885,2022
MALUKU UTARA,April,152337,2022
PAPUA BARAT,April,34020,2022
PAPUA,April,69361,2022
ACEH,Mei,935025,2022
SUMATERA UTARA,Mei,2896949,2022
SUMATERA BARAT,Mei,1655583,2022
RIAU,Mei,897026,2022
JAMBI,Mei,449078,2022
SUMATERA SELATAN,Mei,970391,2022
BENGKULU,Mei,293433,2022
LAMPUNG,Mei,1412731,2022
KEP. BANGKA BELITUNG,Mei,183098,2022
KEP. RIAU,Mei,138874,2022
DKI JAKARTA,Mei,5358565,2022
JAWA BARAT,Mei,14288645,2022
JAWA TENGAH,Mei,10124919,2022
DI YOGYAKARTA,Mei,2758594,2022
JAWA TIMUR,Mei,19934247,2022
BANTEN,Mei,4021101,2022
BALI,Mei,1368766,2022
NUSA TENGGARA BARAT,Mei,431606,2022
NUSA TENGGARA TIMUR,Mei,281871,2022
KALIMANTAN BARAT,Mei,365089,2022
KALIMANTAN TENGAH,Mei,255832,2022
KALIMANTAN SELATAN,Mei,620601,2022
KALIMANTAN TIMUR,Mei,483121,2022
KALIMANTAN UTARA,Mei,30226,2022
SULAWESI UTARA,Mei,503507,2022
SULAWESI TENGAH,Mei,817447,2022
SULAWESI SELATAN,Mei,4619651,2022
SULAWESI TENGGARA,Mei,1592211,2022
GORONTALO,Mei,189314,2022
SULAWESI BARAT,Mei,611768,2022
MALUKU,Mei,56722,2022
MALUKU UTARA,Mei,166862,2022
PAPUA BARAT,Mei,38551,2022
PAPUA,Mei,77379,2022
ACEH,Juni,566361,2022
SUMATERA UTARA,Juni,1987624,2022
SUMATERA BARAT,Juni,988346,2022
RIAU,Juni,692293,2022
JAMBI,Juni,316554,2022
SUMATERA SELATAN,Juni,679215,2022
BENGKULU,Juni,173024,2022
LAMPUNG,Juni,866263,2022
KEP. BANGKA BELITUNG,Juni,135070,2022
KEP. RIAU,Juni,147934,2022
DKI JAKARTA,Juni,5251021,2022
JAWA BARAT,Juni,10403291,2022
JAWA TENGAH,Juni,6985364,2022
DI YOGYAKARTA,Juni,2141729,2022
JAWA TIMUR,Juni,14691026,2022
BANTEN,Juni,3150313,2022
BALI,Juni,1374366,2022
NUSA TENGGARA BARAT,Juni,347975,2022
NUSA TENGGARA TIMUR,Juni,283506,2022
KALIMANTAN BARAT,Juni,271558,2022
KALIMANTAN TENGAH,Juni,220878,2022
KALIMANTAN SELATAN,Juni,432460,2022
KALIMANTAN TIMUR,Juni,454319,2022
KALIMANTAN UTARA,Juni,30204,2022
